"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.j8osds-d.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -cdn --epoch --noheaders --integer --output dstat.8osds.lineitem.10MB.osd0.log",,,,"Date:","08 Sep 2019 20:27:19 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"epoch"
0.125,0.100,99.775,0,0,22544384,45056,96100,23696294,1567992509.289
0.375,0.325,99.299,0,0,154664960,8192,107781,103411681,1567992510.289
0.575,0.400,99.025,0,0,139460608,8192,147976,205754917,1567992511.289
0.250,0.150,99.600,0,0,67633152,8192,113334,91745420,1567992512.289
0.200,0.075,99.724,0,0,67633152,4435968,105882,70678634,1567992513.289
0.225,0.200,99.574,0,0,119013376,8192,39684,70849925,1567992514.289
0.501,0.300,99.199,0,0,155713536,8192,125626,165177163,1567992515.289
0.500,0.250,99.249,0,0,123207680,8192,53686,120727973,1567992516.289
0.326,0.250,99.424,0,0,98041856,8192,144400,162226428,1567992517.289
0.300,0.325,99.350,0.025,0,105906176,5779456,85286,94322596,1567992518.289
0.125,0.100,99.775,0,0,29360128,8192,28996,47203887,1567992519.289
0.250,0.175,99.575,0,0,77070336,8192,48175,70723962,1567992520.289
0.325,0.200,99.474,0,0,80785408,8192,98204,94386316,1567992521.289
0.025,0,99.975,0,0,0,8192,28428,13956,1567992522.289
0.175,0.100,99.700,0.025,0,67633152,2633728,33684,47147816,1567992523.289
0.125,0.150,99.725,0,0,39845888,8192,38012,47199423,1567992524.289
0.250,0.250,99.500,0,0,72876032,8192,102414,94327018,1567992525.289
0.100,0.100,99.800,0,0,60817408,8192,38350,23585647,1567992526.289
0.250,0.125,99.624,0,0,51904512,8192,72580,94404040,1567992527.289
0.375,0.275,99.349,0,0,118489088,3379200,117978,94505748,1567992528.289
0.375,0.375,99.250,0,0,84410368,8192,140250,141494083,1567992529.289
0.175,0.175,99.650,0,0,67633152,8192,39225,47152511,1567992530.289
0.400,0.325,99.275,0,0,112721920,8192,103612,108151298,1567992531.289
0.150,0.125,99.725,0,0,45088768,8192,44316,77277783,1567992532.289
0.200,0.125,99.649,0.025,0,67633152,4182016,88398,74086262,1567992533.289
0.175,0.100,99.725,0,0,45088768,8192,38266,47208441,1567992534.289
0.025,0.150,99.825,0,0,22544384,802816,60944,23612731,1567992535.289
0.250,0.175,99.575,0,0,56623104,8192,55642,70728309,1567992536.289
0.225,0.100,99.675,0,0,56098816,8192,65712,70828101,1567992537.289
0.075,0.075,99.850,0,0,22544384,1581056,34660,23585407,1567992538.289
0.225,0.150,99.624,0,0,67633152,8192,73866,54362295,1567992539.289
0.225,0.125,99.650,0,0,67633152,8192,52143,87224901,1567992540.289
0.100,0.050,99.850,0,0,22544384,8192,42946,23576299,1567992541.289
0.125,0.125,99.750,0,0,41943040,8192,30162,23580985,1567992542.289
0.350,0.175,99.450,0.025,0,77598720,2936832,66126,94304248,1567992543.289
0.350,0.200,99.450,0,0,100663296,8192,116852,94383155,1567992544.289
0.476,0.200,99.323,0,0,140509184,32768,70376,165004795,1567992545.289
0.175,0.100,99.725,0,0,45088768,8192,31328,47147750,1567992546.289
0.200,0.200,99.600,0,0,67633152,8192,69010,70785763,1567992547.289
0.150,0.150,99.675,0.025,0,42991616,3903488,80118,47156924,1567992548.289
0.275,0.200,99.525,0,0,85983232,8192,125316,94418139,1567992549.289
0.576,0.351,99.074,0,0,170393600,8192,206291,188671955,1567992550.289
0.250,0.275,99.475,0,0,61341696,8192,92450,117857351,1567992551.289
0.050,0.025,99.925,0,0,524288,8192,12844,360,1567992552.289
0.451,0.326,99.224,0,0,158334976,4677632,192819,141538287,1567992553.289
0.450,0.250,99.300,0,0,111673344,8192,140500,141618355,1567992554.289
0.050,0.075,99.875,0,0,22544384,8192,46632,23581279,1567992555.289
0.225,0.075,99.700,0,0,45088768,8192,57398,47161412,1567992556.289
0.225,0.250,99.524,0,0,90177536,8192,102392,94372333,1567992557.289
0.401,0.376,99.199,0.025,0,131072000,4354048,142088,165013945,1567992558.289
0.326,0.175,99.499,0,0,111673344,8192,117180,118013646,1567992559.289
0.526,0.275,99.199,0,0,140509184,8192,79665,165000130,1567992560.289
0.325,0.225,99.450,0,0,94371840,8192,123092,88343831,1567992561.290
0.250,0.250,99.500,0,0,102236160,0,111826,100634255,1567992562.289
0.250,0.125,99.600,0.025,0,59768832,5152768,122810,47216258,1567992563.289
0.501,0.326,99.174,0,0,156237824,8192,155014,180727998,1567992564.289
0.476,0.150,99.374,0,0,117964800,8192,139632,119685082,1567992565.289
0.200,0.125,99.675,0,0,68157440,3162112,68888,76935403,1567992566.289
0.275,0.150,99.574,0,0,77594624,8192,67492,71465603,1567992567.289
0.225,0.150,99.625,0,0,67633152,1675264,61596,93686524,1567992568.289
0.300,0.200,99.500,0,0,94896128,8192,84686,77973277,1567992569.289
0.300,0.200,99.499,0,0,85458944,8192,112045,106469220,1567992570.289
0.150,0.150,99.700,0,0,45088768,8192,63308,51414145,1567992571.289
0.276,0.175,99.549,0,0,121634816,8192,122732,94407428,1567992572.289
0.476,0.351,99.149,0.025,0,164102144,4960256,213188,165045991,1567992573.289
0.426,0.275,99.299,0,0,124780544,8192,175316,141662173,1567992574.289
0.350,0.175,99.474,0,0,85458944,8192,132794,117880121,1567992575.289
0.300,0.175,99.525,0,0,85983232,8192,39856,63249272,1567992576.289
0.225,0.150,99.625,0,0,56623104,8192,74958,78199806,1567992577.289
0.300,0.250,99.450,0,0,82837504,4440064,73632,94295140,1567992578.289
0.200,0.150,99.650,0,0,67633152,8192,91628,57899092,1567992579.289
0.325,0.225,99.450,0,0,90177536,8192,79807,107214057,1567992580.289
0.325,0.225,99.450,0,0,90177536,49152,53326,94295140,1567992581.289
0.175,0.075,99.750,0,0,45088768,8192,57746,47161412,1567992582.289
0.100,0.075,99.800,0.025,0,40894464,3448832,48128,23590027,1567992583.289
0.125,0.150,99.725,0,0,42991616,8192,42024,47211511,1567992584.289
0.250,0.100,99.650,0,0,51380224,8192,100310,70782891,1567992585.289
0,0.025,99.975,0,0,0,8192,49758,36726,1567992586.289
0.350,0.200,99.450,0,0,90177536,8192,88156,71965313,1567992587.289
0.401,0.225,99.374,0,0,155189248,3289088,79426,116825103,1567992588.289
0.425,0.275,99.299,0,0,92798976,8192,78228,156942969,1567992589.289
0.200,0.175,99.625,0,0,57671680,8192,36085,55287206,1567992590.289
0.475,0.275,99.250,0,0,122683392,8192,112028,141522574,1567992591.289
0.175,0.125,99.700,0,0,71827456,8192,98842,47188802,1567992592.289
0.350,0.200,99.425,0.025,0,76021760,4259840,68934,93147737,1567992593.289
0.150,0.125,99.725,0,0,41943040,8192,39723,24825596,1567992594.289
0.525,0.400,99.074,0,0,156762112,8192,138230,184147280,1567992595.289
0.125,0.100,99.775,0,0,36700160,2674688,52958,51591515,1567992596.289
0.425,0.250,99.325,0,0,116916224,8192,79852,94322530,1567992597.289
0.376,0.225,99.399,0,0,108527616,2191360,71038,141477130,1567992598.289
0.150,0.050,99.800,0,0,45088768,8192,23132,93001,1567992599.289
0.450,0.250,99.300,0,0,112721920,8192,77293,141525941,1567992600.289
0.200,0.150,99.650,0,0,67633152,12288,32840,63482362,1567992601.289
0.350,0.250,99.324,0.075,0,90976256,3076096,96488,125135176,1567992602.289
0.300,0.200,99.500,0,0,84410368,8192,61864,70802627,1567992603.289
0.300,0.200,99.500,0,0,73400320,8192,106226,94393669,1567992604.289
0.275,0.175,99.550,0,0,82837504,8192,81380,70761629,1567992605.289
0.250,0.175,99.575,0,0,74973184,8192,45120,94295074,1567992606.289
0.175,0.150,99.675,0,0,45088768,4120576,85898,47197844,1567992607.289
0.125,0.125,99.750,0,0,45088768,8192,56280,47259774,1567992608.289
0.075,0.050,99.875,0,0,22544384,8192,27502,23637080,1567992609.289
0.300,0.125,99.575,0,0,67633152,8192,46707,70719342,1567992610.289
0.025,0.050,99.925,0,0,21495808,8192,39808,27684,1567992611.289
0.325,0.125,99.550,0,0,68681728,1916928,74442,72478553,1567992612.289
0.351,0.175,99.474,0,0,119537664,8192,88466,97365748,1567992613.289
0.300,0.250,99.450,0,0,83365888,8192,102072,136767375,1567992614.289
0.075,0.100,99.825,0,0,22544384,8192,34372,23585407,1567992615.289
0.025,0.025,99.950,0,0,0,8192,12306,294,1567992616.289
0.125,0.125,99.725,0.025,0,45088768,3059712,72332,47165900,1567992617.289
0.075,0.100,99.825,0,0,22544384,8192,60580,23608177,1567992618.289
0.275,0.250,99.475,0,0,98566144,8192,103394,71390826,1567992619.289
0.350,0.300,99.350,0,0,125829120,8192,59509,117377668,1567992620.289
0.476,0.276,99.248,0,0,136314880,8192,160662,187536065,1567992621.289
0.150,0.125,99.725,0,0,45088768,4444160,29564,48304365,1567992622.289
0.150,0.075,99.775,0,0,45088768,8192,35162,47147750,1567992623.289
0.225,0.175,99.600,0,0,67633152,8192,54178,70784446,1567992624.289
0.425,0.325,99.250,0,0,147849216,8192,102778,117951495,1567992625.289
0.375,0.300,99.324,0,0,100143104,8192,48832,141428670,1567992626.289
0.401,0.200,99.374,0.025,0,112721920,4734976,61706,117871145,1567992627.289
0.100,0.075,99.825,0,0,53477376,8192,28572,23580919,1567992628.289
0.550,0.300,99.150,0,0,145227776,8192,81238,165189654,1567992629.289
0.526,0.275,99.199,0,0,139460608,8192,144439,165200284,1567992630.289
0.401,0.175,99.424,0,0,112721920,8192,70604,117880121,1567992631.289
0.225,0.200,99.550,0.025,0,45088768,4849664,97314,47216060,1567992632.289
0.225,0.150,99.625,0,0,77594624,8192,35506,47143262,1567992633.289
0.501,0.275,99.224,0,0,125304832,8192,113634,165263956,1567992634.289
0.100,0.125,99.775,0,0,37224448,8192,25200,23576431,1567992635.289
0.350,0.225,99.425,0,0,90701824,8192,87748,94336192,1567992636.289
0.150,0.175,99.675,0,0,70778880,4378624,58308,47179694,1567992637.289
0.426,0.275,99.299,0,0,117440512,8192,101738,148072486,1567992638.289
0.401,0.300,99.299,0,0,144179200,8192,89444,154336153,1567992639.289
0.075,0.050,99.875,0,0,13107200,8192,20295,27874527,1567992640.289
0.225,0.125,99.650,0,0,45088768,8192,27950,47147750,1567992641.289
0.300,0.200,99.475,0.025,0,79691776,3686400,53370,70804075,1567992642.289
0.375,0.300,99.324,0,0,123207680,8192,87182,120146759,1567992643.289
0.200,0.100,99.700,0,0,50331648,8192,47750,68531638,1567992644.289
0.401,0.275,99.324,0,0,134217728,8192,99554,141486514,1567992645.289
0.100,0.125,99.775,0,0,40894464,8192,93490,47188670,1567992646.289
0.325,0.250,99.400,0.025,0,90177536,4145152,76908,78189235,1567992647.289
0.075,0.150,99.775,0,0,37748736,8192,60092,39885218,1567992648.289
0.225,0.125,99.650,0,0,52428800,8192,40688,63820103,1567992649.289
0.100,0.100,99.800,0,0,22544384,8192,32701,30540783,1567992650.289
0.425,0.275,99.299,0,0,135266304,8192,56334,102806902,1567992651.289
0.225,0.200,99.575,0,0,67633152,3391488,154012,109463855,1567992652.289
0.300,0.250,99.449,0,0,126877696,8192,123172,94420964,1567992653.289
0.451,0.301,99.248,0,0,126877696,8192,138930,165074606,1567992654.289
0.325,0.225,99.449,0,0,106954752,8192,76678,118031617,1567992655.289
0.375,0.225,99.399,0,0,125304832,8192,62214,94390708,1567992656.289
0.551,0.376,99.048,0.025,0,147324928,6164480,146786,188647272,1567992657.289
0.125,0.100,99.775,0,0,59768832,8192,33506,47152370,1567992658.289
0.200,0.125,99.675,0,0,50855936,8192,44162,48512129,1567992659.289
0.025,0.025,99.950,0,0,0,8192,19911,22281904,1567992660.289
0.275,0.125,99.600,0,0,67633152,8192,72300,51706566,1567992661.289
0.150,0.125,99.700,0.025,0,45088768,2887680,39962,66207358,1567992662.289
0.125,0.075,99.800,0,0,45088768,8192,72992,47184182,1567992663.289
0.125,0.075,99.800,0,0,22544384,8192,69040,3549505,1567992664.289
0.100,0.075,99.825,0,0,22544384,8192,33066,43727558,1567992665.289
0.300,0.200,99.500,0,0,90177536,8192,37640,48154758,1567992666.289
0.375,0.350,99.274,0,0,130023424,2621440,130806,140629410,1567992667.289
0.601,0.250,99.149,0,0,156762112,1540096,164008,165174303,1567992668.289
0.476,0.200,99.324,0,0,121110528,8192,112226,152258707,1567992669.289
0.200,0.075,99.724,0,0,65536000,8192,108113,79338670,1567992670.289
0.250,0.100,99.650,0,0,67633152,8192,35970,74979450,1567992671.289
0.275,0.125,99.575,0.025,0,67633152,3534848,44190,70732863,1567992672.289
0.250,0.175,99.575,0,0,69730304,40960,34210,70719267,1567992673.289
0.150,0.100,99.750,0,0,42991616,8192,40966,47213031,1567992674.289
0.200,0.175,99.625,0,0,67633152,8192,71376,70755633,1567992675.289
0.250,0.200,99.549,0,0,90177536,8192,58482,94354252,1567992676.289
0.325,0.200,99.474,0,0,90177536,3526656,56224,83459511,1567992677.289
0.125,0.025,99.850,0,0,45088768,8192,60170,34443872,1567992678.289
0.225,0.225,99.550,0,0,74448896,8192,50468,70804248,1567992679.289
0.225,0.150,99.625,0,0,38273024,8192,43263,70731334,1567992680.289
0.200,0.150,99.650,0,0,45088768,8192,60380,47175074,1567992681.289
0.125,0.100,99.750,0.025,0,41943040,2629632,29306,23576299,1567992682.289
0.451,0.275,99.274,0,0,115867648,8192,158950,129698957,1567992683.289
0.225,0.225,99.550,0,0,71827456,8192,76080,63579444,1567992684.289
0.325,0.250,99.424,0,0,128450560,8192,89586,113297525,1567992685.289
0.476,0.275,99.249,0,0,115343360,8192,132414,155053192,1567992686.289
0.300,0.275,99.400,0.025,0,90177536,5431296,90148,104381339,1567992687.289
0.100,0.100,99.800,0,0,22544384,8192,23764,23576341,1567992688.289
0.150,0.050,99.800,0,0,61341696,8192,55866,23664578,1567992689.289
0.325,0.200,99.474,0,0,73924608,8192,57825,117868087,1567992690.289
0.125,0.100,99.775,0,0,24641536,8192,20018,23576365,1567992691.289
0.325,0.275,99.400,0,0,142082048,2994176,120030,94761542,1567992692.289
0.476,0.275,99.249,0,0,103809024,8192,99748,165018325,1567992693.289
0.350,0.300,99.350,0,0,112721920,8192,102130,112184737,1567992694.289
0.100,0.050,99.850,0,0,22544384,8192,76200,29467357,1567992695.289
0.275,0.150,99.575,0,0,106954752,8192,87510,50462124,1567992696.289
0.375,0.325,99.274,0.025,0,88080384,4632576,153712,138182804,1567992697.289
0.350,0.200,99.449,0,0,98041856,8192,87018,117857351,1567992698.289
0.175,0.175,99.650,0,0,62390272,1351680,45438,47356969,1567992699.289
0.450,0.250,99.299,0,0,117964800,8192,102677,120997843,1567992700.289
0.300,0.225,99.475,0,0,90705920,8192,94316,91223423,1567992701.289
0.275,0.225,99.500,0,0,77070336,3153920,91422,94331506,1567992702.289
0.125,0.100,99.775,0,0,46661632,8192,56134,47243144,1567992703.289
0.250,0.150,99.600,0,0,56098816,12288,47564,70775338,1567992704.289
0.300,0.225,99.475,0,0,90177536,8192,61210,71885047,1567992705.289
0.075,0.075,99.850,0,0,22544384,4096,85342,46010742,1567992706.289
0.125,0.050,99.800,0.025,0,22544384,2613248,27634,23580853,1567992707.289
0.150,0.125,99.725,0,0,45088768,8192,74726,47193290,1567992708.289
0.150,0.125,99.725,0,0,45088768,53248,65234,47235859,1567992709.289
0.175,0.100,99.725,0,0,45088768,8192,30467,47152499,1567992710.289
0.175,0.150,99.675,0,0,67633152,8192,45462,47161478,1567992711.289
0.125,0.125,99.750,0,0,22544384,2420736,46688,47190076,1567992712.289
0.200,0.125,99.675,0,0,67633152,8192,48312,70719069,1567992713.289
0.300,0.200,99.500,0,0,81793024,8192,119776,70848370,1567992714.289
0.250,0.200,99.550,0,0,76021760,8192,51498,94290586,1567992715.289
0.050,0,99.950,0,0,18874368,8192,21590,9534,1567992716.289
0.425,0.250,99.300,0.025,0,96468992,3477504,103372,118099645,1567992717.289
0.050,0.050,99.900,0,0,19922944,8192,24402,23580853,1567992718.289
0.250,0.175,99.575,0,0,67633152,8192,38220,52754460,1567992719.289
0.250,0.250,99.499,0,0,90177536,8192,96167,112363383,1567992720.289
0.150,0.075,99.775,0,0,33554432,8192,30174,23608171,1567992721.289
0.401,0.225,99.374,0,0,124256256,3457024,104808,141521336,1567992722.289
0.225,0.150,99.625,0,0,75497472,12288,35746,47152436,1567992723.289
0.125,0.125,99.750,0,0,14680064,8192,47676,47362827,1567992724.289
0.150,0.150,99.700,0,0,45088768,8192,40676,47152238,1567992725.289
0.300,0.175,99.525,0,0,67633152,8192,76320,70755567,1567992726.289
0.025,0.025,99.950,0,0,0,8192,33456,23064,1567992727.289
0.025,0.025,99.925,0.025,0,0,2199552,20274,9402,1567992728.289
0.025,0.025,99.950,0,0,0,135168,52620,97519,1567992729.289
0.025,0.025,99.950,0,0,0,8192,48333,36867,1567992730.289
0.025,0.025,99.950,0,0,0,8192,20994,9402,1567992731.289
0,0.025,99.975,0,0,0,8192,30042,18510,1567992732.289
0,0.050,99.950,0,0,0,221184,60960,50388,1567992733.289
0.025,0.025,99.950,0,0,0,8192,16128,61051,1567992734.289
0.025,0.025,99.950,0,0,0,20480,20934,9402,1567992735.289
0,0.025,99.975,0,0,0,8192,16440,4848,1567992736.289
0.025,0.025,99.950,0,0,0,8192,17640,4848,1567992737.289
0,0.075,99.925,0,0,0,331776,52752,41280,1567992738.289
0.075,0.025,99.900,0,0,0,8192,16008,61051,1567992739.289
0,0.025,99.975,0,0,0,8192,15315,4989,1567992740.289
0,0.025,99.975,0,0,0,8192,14820,4848,1567992741.289
0.025,0.025,99.950,0,0,0,8192,55626,45888,1567992742.289
0.025,0.025,99.950,0,0,0,348160,14580,4848,1567992743.289
0,0.025,99.975,0,0,0,8192,20514,65605,1567992744.289
0.025,0,99.975,0,0,0,36864,28722,18667,1567992745.289
0.025,0.025,99.950,0,0,0,8192,19854,9402,1567992746.289
0,0.025,99.975,0,0,0,8192,16298,5316,1567992747.289
0.025,0.050,99.925,0,0,0,319488,41904,32172,1567992748.289
0.025,0,99.975,0,0,0,8192,24036,70159,1567992749.289
0,0.050,99.950,0,0,0,8192,22563,14151,1567992750.289
0.025,0,99.975,0,0,0,8192,18354,9402,1567992751.289
0.025,0.050,99.925,0,0,0,8192,18354,9402,1567992752.289
0.050,0,99.950,0,0,0,327680,15180,4848,1567992753.289
0.025,0.050,99.925,0,0,0,8192,56328,102037,1567992754.289
0,0.050,99.950,0,0,0,8192,51372,41280,1567992755.289
0,0.025,99.975,0,0,0,8192,15840,4848,1567992756.289
0.025,0.050,99.925,0,0,0,8192,25308,13956,1567992757.289
0.050,0.025,99.925,0,0,0,339968,17448,5095,1567992758.289
0,0.050,99.950,0,0,0,8192,50370,94195,1567992759.289
0.175,0.100,99.725,0,0,0,176128,21314,7808,1567992760.289
1.176,0.826,97.823,0.175,0,6901760,487424,48889,37156,1567992761.289
0.325,0.200,99.475,0,0,737280,921600,53868,43162,1567992762.289
0,0.025,99.975,0,0,0,8192,20394,9402,1567992763.289
0,0,100,0,0,0,8192,11116,56563,1567992764.289
0,0,100,0,0,0,8192,20154,9402,1567992765.289
0.025,0.025,99.950,0,0,0,8192,15120,4848,1567992766.289
0,0.025,99.975,0,0,0,352256,19374,9402,1567992767.289
0.050,0.050,99.900,0,0,0,8192,51072,41280,1567992768.289
0.050,0.025,99.925,0,0,0,8192,20202,65605,1567992769.289
0.025,0.025,99.950,0,0,0,8192,15495,4989,1567992770.289
0,0.025,99.975,0,0,61440,8192,20168,10245,1567992771.289
0.025,0.050,99.925,0,0,0,356352,56772,45834,1567992772.289
0.100,0.125,99.775,0,0,56098816,8192,28300,10479,1567992773.289
0.626,0.350,99.024,0,0,173539328,8192,311963,178753553,1567992774.289
0.451,0.301,99.248,0,0,162529280,8192,222472,153030950,1567992775.289
0.550,0.275,99.174,0,0,161480704,8192,137541,93704806,1567992776.289
0.551,0.551,98.874,0.025,0,157286400,5976064,425287,252045006,1567992777.289
0.401,0.276,99.324,0,0,147849216,8192,270879,172495418,1567992778.289
0.651,0.250,99.099,0,0,143130624,8192,208738,120634581,1567992779.289
0.425,0.300,99.274,0,0,148897792,8192,193314,92902689,1567992780.289
0.100,0.225,99.675,0,0,31981568,8192,286752,164447958,1567992781.289
0.300,0.325,99.350,0.025,0,96993280,6148096,173531,108072610,1567992782.289
0.075,0.100,99.825,0,0,6291456,8192,120600,56611550,1567992783.289
0.250,0.300,99.450,0,0,77070336,8192,143330,77335471,1567992784.289
0.300,0.325,99.374,0,0,104333312,8192,169819,136544610,1567992785.289
0.200,0.150,99.650,0,0,45088768,8192,115551,86853648,1567992786.289
0.300,0.275,99.400,0.025,0,67633152,3616768,172510,101734774,1567992787.289
0.375,0.250,99.375,0,0,109576192,8192,99139,93733392,1567992788.289
0.401,0.325,99.274,0,0,93323264,8192,187935,211469123,1567992789.289
0.375,0.300,99.324,0,0,118489088,8192,139909,80345463,1567992790.289
0.225,0.250,99.525,0,0,79691776,8192,100814,132017667,1567992791.289
0.375,0.300,99.324,0,0,94896128,6619136,176390,141442398,1567992792.289
0.375,0.250,99.374,0,0,112721920,8192,169746,116934276,1567992793.289
0.350,0.300,99.350,0,0,90177536,8192,213220,96025584,1567992794.289
0.250,0.325,99.424,0,0,85983232,8192,200774,118319094,1567992795.289
0.250,0.525,99.224,0,0,79167488,8192,176966,140615727,1567992796.289
0.250,0.426,99.299,0.025,0,60293120,4734976,240534,141437910,1567992797.289
0.225,0.225,99.550,0,0,67633152,12288,75100,74422457,1567992798.289
0.301,0.225,99.474,0,0,90177536,8192,210406,122485986,1567992799.289
0.350,0.250,99.399,0,0,97517568,8192,175105,86644964,1567992800.289
0.500,0.250,99.250,0,0,104861696,8192,230304,130807004,1567992801.289
0.450,0.350,99.174,0.025,0,157810688,4849664,240092,152227501,1567992802.289
0.550,0.400,99.050,0,0,117440512,8192,149976,168128504,1567992803.289
0.501,0.400,99.099,0,0,159907840,8192,249748,172859068,1567992804.289
0.526,0.251,99.223,0,0,152043520,8192,204950,162212889,1567992805.289
0.300,0.375,99.324,0,0,119537664,8192,223866,155247062,1567992806.289
